Channel,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1
general-chat,70,202,163,345,846,1127,849,842,535,722,768,1277,1222,718,852,2117,1420,1184,696
announcements,0,0,0,6,20,29,20,25,4,159,181,242,212,164,210,85,3,9,4
welcome,0,0,0,0,841,1801,2211,4615,2871,3677,2595,3188,8975,794,1217,548,94,64,39
introduce-yourself,0,0,0,0,10,94,215,118,74,196,129,109,144,116,113,168,164,122,36
ambassadors,0,0,0,0,0,89,199,94,152,50,1068,1190,470,454,372,476,581,655,106
github,0,0,0,0,0,143,602,782,677,280,901,876,1479,2934,1990,2412,1047,1427,172
gm,0,0,0,0,0,0,0,0,0,57,110,234,202,290,226,244,377,188,110
report-scammers,0,0,0,0,0,0,0,0,0,11,42,96,55,14,41,42,14,77,66
dev-lounge,0,0,0,0,0,0,0,0,0,0,0,66,9,16,35,302,78,69,38
data-science-hub,0,0,0,0,0,0,0,0,0,0,0,0,58,68,69,30,137,114,36
data-farming,0,0,0,0,0,0,0,0,0,0,0,0,21,56,216,99,24,75,20
ask-the-ai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,254,25,62,4
ocean-lounge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,48,11,0
tech-announcements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,5,0,0
traders-lounge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,53,4,15,4
ai-fun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,635,190,20,12
idea-factory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,97,50,41,17
builders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,31,16,0,0
treasure-hunter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1428,1009,157
predictoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,364,151
tweets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,62
