Author,Character Count
dotunwilfred.eth,217440.0
blockchainlugano,207819.0
kreigdk,143748.0
robinlehmann,122662.0
doteth,104565.0
birususama,88489.0
bhavingala,63791.0
zippy1979,60515.0
idiom_bytes,60012.0
georgegem,58462.0
feno1486,56058.0
OceanDiffusion#4502,54960.0
mickssp,47086.0
lukas85#6738,45253.0
white_rider_,44693.0
innopreneur,42009.0
lrt8723,40770.0
vitusdaniel1,37243.0
austineking,35489.0
wally0221,33431.0
cesar_cripto,33379.0
stip11,30190.0
kuerax,30027.0
kremalicious,29438.0
Norbert | Ocean#7805,28755.0
nickscavuzzo33,26893.0
hanadi.fh,26016.0
denkcryptoo12,25968.0
alexcos20,24651.0
sarahsweetchilli,23247.0
olofhakansson_,23090.0
drprk.eth,22545.0
swish24_08,22258.0
cryptozeal_,21577.0
graceful.coder,21257.0
Alexpao#9344,21140.0
joshkeyz.,20718.0
wanderclyffex,19086.0
richard_bisong,18738.0
jesusdatalatte,18372.0
himas.,17791.0
doink#3458,17557.0
emcee1,16880.0
bhalisa,16850.0
pepecipher,15696.0
iamnazar,14931.0
andriy7906,14907.0
zephlino_1,14633.0
QueenPat#9259,14294.0
abdulmazid_,13933.0
hopper255,13563.0
hitarayo_,13534.0
3vdaimoniac,13489.0
bluetyphoon77,13182.0
jb1908,13146.0
cryptofather5645,13062.0
Daniel from Ocean#3725,12435.0
carmina19,12128.0
ssskylark,11692.0
denkobetona,11532.0
.scottm3,11501.0
dudeamir,11422.0
mantisclone,11245.0
igork_ldn,10826.0
bigimeyagazzz,10649.0
realdatawhale,10513.0
khuraym,10458.0
pozitivchik.eth,10389.0
inspairo,9740.0
damien_q,9615.0
nosedive2moon,9407.0
dscrdnm,9139.0
milanweb3,9087.0
TimDaub#7709,9042.0
taichijiro,8653.0
toffie_io_11953,8410.0
trentmc0,8174.0
crox_verse,8061.0
i_am_ilya.,7497.0
qazim,7325.0
gareth0411,7299.0
depin_doctor,7131.0
Timothy.AthenaProtocol.Eth#2384,7086.0
donnelove,7076.0
tobiasmanthey,6911.0
due_writer,6852.0
kush83,6451.0
dogerton,6286.0
christian_casazza,6182.0
icelander1,6142.0
E G#5278,5997.0
kitblake,5749.0
d.langford,5696.0
mikey85#0158,5452.0
hebbianloop,5439.0
peekabuu12,5386.0
crabdippywillis.wen,5386.0
twelveohm,5323.0
Mattt#4351,5247.0
dhlegit,5176.0
luccos.,5002.0
ancarizan,4963.0
jonathanbytesio,4959.0
Equanikus#1962,4857.0
curiousrabbit.eth,4756.0
psaah,4750.0
ji1n11,4712.0
Xk9eboF6#0464,4601.0
pacha912,4505.0
chefcryptochris,4499.0
ndubss,4351.0
dusty2791,4325.0
mc_thx,4311.0
hashfriend,4170.0
ontologymachine,4074.0
nazariyv,3941.0
cassette38,3938.0
tigert0221,3926.0
gmemoonmission,3891.0
el1748eth,3881.0
Ocean Protocol • TweetShift,3864.0
miamisilvio,3774.0
nixon323,3761.0
ikamskiy,3756.0
blissen.,3754.0
1665_,3510.0
trizin.,3496.0
bogdanoceanprotocol,3493.0
Maki#4920,3291.0
rabbidfly,3272.0
kennyboss.crypto,3194.0
rayocean,3177.0
verahert,3170.0
trishul#4714,3153.0
bigtimesmalltime,3111.0
ben_datastake,3104.0
Frederic#8800,3057.0
maindanz,3053.0
sebastianjuara,3048.0
0xnoe,3040.0
knothere.,3038.0
ttk100#9960,3035.0
odin2362,3034.0
web3ocean,3018.0
Crypto Rootz#1318,3017.0
liquidsurfer,3008.0
Muthu#6339,2876.0
cryptoholder_,2814.0
noxx01,2799.0
oiclid,2771.0
rafaelestermann2000,2756.0
