Author,Reactions
blockchainlugano,2810
doteth,1545
awesomeQA#0813,1240
zippy1979,910
kreigdk,619
white_rider_,595
robinlehmann,385
realdatawhale,274
dotunwilfred.eth,237
lrt8723,223
nickscavuzzo33,222
wanderclyffex,215
carmina19,214
richard_bisong,204
idiom_bytes,193
qazim,186
sarahsweetchilli,173
cesar_cripto,168
georgegem,168
stip11,167
jonathanbytesio,165
wally0221,163
feno1486,162
MEE6#4876,160
EasyPoll#3712,145
jesusdatalatte,144
bhalisa,135
mickssp,130
nosedive2moon,127
bhavingala,126
hitarayo_,116
innopreneur,112
vitusdaniel1,105
pablor3211,102
web3ocean,90
joshkeyz.,87
birususama,82
chefcryptochris,80
kuerax,75
olofhakansson_,74
hanadi.fh,73
dudeamir,70
AutoBot#1760,69
Deleted User,67
austineking,66
iamnazar,66
himas.,64
lukas85#6738,64
OceanDiffusion#4502,62
cryptozeal_,62
pepecipher,61
cassette38,59
nixon323,59
Norbert | Ocean#7805,57
zephlino_1,57
.scottm3,57
jb1908,57
QueenPat#9259,56
sid_1822,55
swish24_08,52
drprk.eth,52
graceful.coder,51
pacha912,50
i_am_ilya.,46
abdulmazid_,42
denkobetona,41
khuraym,40
mantisclone,39
shidi9232,39
alexcos20,38
Alexpao#9344,38
kennyboss.crypto,37
cryptofather5645,37
TimDaub#7709,36
inspairo,36
bigimeyagazzz,35
Daniel from Ocean#3725,35
toffie_io_11953,34
denkcryptoo12,33
milanweb3,33
raphael_wedatanation,33
igork_ldn,32
hopper255,32
andriy7906,32
kitblake,31
zamirana,31
trentmc0,29
hebbianloop,28
wizardofold,28
femiyoghurt,27
peekabuu12,26
trishul#4714,25
jeez7829,25
mc_thx,25
Frederic#8800,24
curiousrabbit.eth,23
iamveektoria,23
Timothy.AthenaProtocol.Eth#2384,22
pozitivchik.eth,21
Johannes (JD) Drooghaag#2931,21
luccos.,21
Lwando#2501,20
aqualityusername,20
ancarizan,19
corrie6921,19
ji1n11,19
sparkling0614,19
oiclid,18
ikamskiy,18
mitch_sniper2299,17
DAVID OF NIRVANA#6220,17
ssskylark,17
d.langford,17
3vdaimoniac,17
depin_doctor,17
0xjordy,16
kareemikassab,16
due_writer,15
samurai_quest,15
greenbee9327,15
maindanz,15
helenimah,15
rish_kilt,15
liquidsurfer,15
0xdatawolf,14
Xk9eboF6#0464,14
thepresidente,13
0xnoe,13
eth_pooly,13
mohammad.jamali,12
nazariyv,12
cf7464,11
trangnv,11
enrico9595,11
OceanGPT#0740,10
amanbishnoi,10
ndehouche,10
sdntechforum#3884,10
dopesidez,10
s4urus,10
abrom8,10
dscrdnm,10
izuking,10
tigert0221,10
goden8092,9
