Author,Word Count
MEE6#4876,1197715.0
blockchainlugano,36920.0
dotunwilfred.eth,35562.0
kreigdk,24329.0
Deleted User,23425.0
robinlehmann,22280.0
OceanGPT#0740,20753.0
doteth,18017.0
birususama,14784.0
zippy1979,11100.0
bhavingala,10770.0
idiom_bytes,10394.0
georgegem,10211.0
feno1486,9631.0
OceanDiffusion#4502,9195.0
mickssp,7941.0
white_rider_,7935.0
lukas85#6738,7654.0
lrt8723,7126.0
innopreneur,7117.0
vitusdaniel1,6234.0
cesar_cripto,6037.0
wally0221,5755.0
austineking,5500.0
Norbert | Ocean#7805,5247.0
stip11,5204.0
kremalicious,5164.0
kuerax,4951.0
nickscavuzzo33,4620.0
alexcos20,4594.0
hanadi.fh,4377.0
denkcryptoo12,4130.0
sarahsweetchilli,4124.0
swish24_08,4055.0
olofhakansson_,4016.0
drprk.eth,4004.0
graceful.coder,3788.0
jesusdatalatte,3660.0
Alexpao#9344,3532.0
joshkeyz.,3509.0
wanderclyffex,3495.0
richard_bisong,3196.0
cryptozeal_,3186.0
doink#3458,3037.0
bhalisa,3024.0
himas.,2972.0
emcee1,2822.0
zephlino_1,2716.0
pepecipher,2710.0
iamnazar,2609.0
QueenPat#9259,2552.0
bluetyphoon77,2529.0
3vdaimoniac,2428.0
hitarayo_,2386.0
abdulmazid_,2337.0
jb1908,2234.0
bigimeyagazzz,2132.0
dudeamir,2121.0
cryptofather5645,2119.0
Daniel from Ocean#3725,2103.0
denkobetona,2094.0
carmina19,2069.0
hopper255,2068.0
.scottm3,2028.0
andriy7906,2008.0
ssskylark,1994.0
khuraym,1981.0
mantisclone,1972.0
igork_ldn,1818.0
realdatawhale,1812.0
pozitivchik.eth,1739.0
damien_q,1709.0
nosedive2moon,1704.0
dscrdnm,1684.0
TimDaub#7709,1610.0
milanweb3,1512.0
qazim,1485.0
inspairo,1466.0
trentmc0,1430.0
toffie_io_11953,1345.0
taichijiro,1321.0
Timothy.AthenaProtocol.Eth#2384,1309.0
gareth0411,1256.0
kush83,1238.0
tobiasmanthey,1237.0
i_am_ilya.,1227.0
dogerton,1219.0
crox_verse,1212.0
icelander1,1202.0
donnelove,1161.0
E G#5278,1105.0
kitblake,1079.0
due_writer,1071.0
depin_doctor,1052.0
christian_casazza,1038.0
d.langford,994.0
mikey85#0158,993.0
jonathanbytesio,990.0
Mattt#4351,985.0
dhlegit,952.0
twelveohm,948.0
luccos.,943.0
peekabuu12,942.0
Equanikus#1962,929.0
hebbianloop,886.0
chefcryptochris,872.0
curiousrabbit.eth,860.0
Xk9eboF6#0464,835.0
psaah,823.0
dusty2791,788.0
mc_thx,767.0
pacha912,766.0
nazariyv,760.0
ancarizan,750.0
crabdippywillis.wen,730.0
ji1n11,722.0
gmemoonmission,721.0
hashfriend,718.0
cassette38,698.0
tigert0221,684.0
el1748eth,684.0
ontologymachine,681.0
nixon323,670.0
ndubss,655.0
trizin.,636.0
Crypto Rootz#1318,634.0
1665_,622.0
ikamskiy,620.0
rabbidfly,614.0
verahert,612.0
liquidsurfer,611.0
ttk100#9960,611.0
knothere.,601.0
blissen.,595.0
miamisilvio,594.0
web3ocean,577.0
bigtimesmalltime,577.0
0xnoe,570.0
bogdanoceanprotocol,562.0
trishul#4714,555.0
ben_datastake,555.0
rayocean,545.0
Muthu#6339,529.0
kennyboss.crypto,524.0
sebastianjuara,522.0
Maki#4920,519.0
odin2362,517.0
oiclid,516.0
maindanz,514.0
Frederic#8800,513.0
aqualityusername,509.0
youaintmyfry,504.0
ibrahimansar1,502.0
noxx01,496.0
eidos__beam,493.0
hack.aiqc,481.0
chif_odey,477.0
wizardofold,477.0
MarilynCryptic#0693,476.0
jon77777,476.0
tarunk99,476.0
macrodrigues,474.0
rafaelestermann2000,472.0
hiturunk,463.0
ililic2084,455.0
cryptoholder_,452.0
homecore,449.0
danadalis,448.0
abessalov,443.0
mrgreyisyellingfromneverdietacos,442.0
lukas85#9699,435.0
mr.metaverse,427.0
mnkyntigr(UTC-4)#4435,426.0
vikiman1,418.0
widestrides,414.0
Mason#5694,413.0
kasheyyysh,411.0
jeugregg,409.0
furcoder,408.0
fakedepression,401.0
avret,400.0
flowscience,398.0
macheena,397.0
poseidon2525,397.0
Daniel W#5160,396.0
femiyoghurt,389.0
vladpaper.,384.0
semanticbeeng,384.0
anu__,383.0
alibaba0810,373.0
goblinmode8810,370.0
butterflyq,369.0
rish_kilt,368.0
ndehouche,365.0
vkpatva,361.0
0xriccardo,356.0
friso703,350.0
pablor3211,349.0
nascencey,348.0
samurai_quest,348.0
neurotex#2349,346.0
mmdd2651,344.0
jeez7829,343.0
awbvious,342.0
0xquantive,337.0
vishleshak,334.0
pittie_huff,333.0
patel#3287,333.0
Ocean Protocol • TweetShift,332.0
michaelcrupto,331.0
zamirana,328.0
pynewb,323.0
bk8777,322.0
0xblockboy,319.0
jsopel,318.0
samer#8968,318.0
orehub,316.0
silentspring.,311.0
abrom8,308.0
unstablenoobs,305.0
aar0n__,303.0
zomboy,302.0
ssaha007#4362,301.0
ultraviolet4453,300.0
Cryptoaware#6179,299.0
shmoji,296.0
balikhasan,296.0
emi419,294.0
at_least_weasel,292.0
5ikal,291.0
raphael_wedatanation,288.0
shidi9232,288.0
w3bhub,287.0
opdiefiets,285.0
beason82,284.0
endro__,283.0
markhanlon,283.0
jamie123abc,282.0
Coordinape Hook,281.0
truthsayer00,281.0
testk#6242,280.0
lolitalohasota,280.0
thegeneral209,279.0
ggermany,277.0
potatoo4937,276.0
EIDRM#1954,276.0
yanson1,276.0
kareemikassab,272.0
crebspark,271.0
helenimah,268.0
flamezzichiban#9445,268.0
0g_bagsy,267.0
iamveektoria,266.0
cami1965#2319,266.0
djstrikanova,265.0
eg0maniac,265.0
richardblythman,264.0
stmx38,263.0
web3dev#1655,262.0
filippo305,261.0
pichon#9200,258.0
noelmyers,258.0
sm1212bricktoupunks,257.0
ryfleisch,255.0
puni58,255.0
biplabro.nft,254.0
toastyfevers,253.0
matsbrodennordicpowerhouse,253.0
alex.13s,252.0
eth_pooly,252.0
cryptoav,249.0
.alpha_12,249.0
xiscor,248.0
genius7148,247.0
samtin0x,247.0
zenkert,244.0
intrepidexp,243.0
hygrobro#6283,242.0
luqman_ejaz,241.0
_hugo_12,241.0
neurosyft#1798,241.0
ogoptimusmaximus,240.0
zeromiedocrypto,239.0
k4rl33,239.0
