Author,Message_Count,Total_Characters,Average_Content_Length,Activity_Category
!               GD┘áShaibi#3385,1,18.0,3.0,Very Low
!            Reko .#6689,1,18.0,3.0,Very Low
!   SΓêåM#2947,1,18.0,3.0,Very Low
!   ajjaxx.xp#8310,1,18.0,3.0,Very Low
!  Arii#5937,1,18.0,3.0,Very Low
!  Moath#6029,1,18.0,3.0,Very Low
!  tufinhax#0184,1,18.0,3.0,Very Low
! 0000#0530,1,18.0,3.0,Very Low
! 1337#5778,1,18.0,3.0,Very Low
! Alix#5968,1,18.0,3.0,Very Low
! Ayman#5155,1,18.0,3.0,Very Low
! Bombo#5178,1,18.0,3.0,Very Low
! Destroyer#7686,1,18.0,3.0,Very Low
! JovoK#6259,5,44.0,1.8,Very Low
! JyreeW#5491,1,18.0,3.0,Very Low
! Shin#5172,1,18.0,3.0,Very Low
! Shin#6224,1,18.0,3.0,Very Low
! Twex#0820,1,18.0,3.0,Very Low
! ZAI#7665,1,18.0,3.0,Very Low
! dudinha#6979,1,18.0,3.0,Very Low
! farrel#3564,1,18.0,3.0,Very Low
! kza#1729,1,18.0,3.0,Very Low
! saucy#6517,1,18.0,3.0,Very Low
! tania#1058,1,18.0,3.0,Very Low
! youth 21#0413,1,18.0,3.0,Very Low
! πâîπâ╝πâëπâ½#9573,1,18.0,3.0,Very Low
! ≡¥Öì≡¥Ö₧≡¥Öÿ≡¥Öá≡¥Öñ X Rixxko#1261,1,18.0,3.0,Very Low
! ≡¥æ║≡¥Æî≡¥ÆÜ#5955,1,18.0,3.0,Very Low
! ≡¥ûÿ≡¥ûÜ≡¥ûç ≡¥ûÖ ≡ûñÉ#6503,1,18.0,3.0,Very Low
! 𝙆𝙖𝙡𝙞𝙘𝙘#5900,1,18.0,3.0,Very Low
!! Chikit0.comΓ¥ñ#5661,1,18.0,3.0,Very Low
!!!Dunha#4722,1,18.0,3.0,Very Low
!!ASKMICHEAL#7952,1,18.0,3.0,Very Low
!KiriΓ¥ñWash#5002,1,18.0,3.0,Very Low
!Mrozi w chuj mordo#4700,1,18.0,3.0,Very Low
!canadianwhale#9132,1,18.0,3.0,Very Low
!gia#8639,1,18.0,3.0,Very Low
!madii#0970,1,18.0,3.0,Very Low
!misha#7008,1,18.0,3.0,Very Low
!pexa#9552,1,18.0,3.0,Very Low
!vini7_fxp_≡ƒñ¼#0600,1,18.0,3.0,Very Low
!α╕┐╬ÿWIEΓè▒#6324,1,18.0,3.0,Very Low
!πÇÄ≡ƒâÅπÇÅΓ£ÿ HosamΓÖá Γ£ÿ|#8293,1,18.0,3.0,Very Low
!╪│╪¿┘ê┘â╪º-->SBOKA#7810,1,18.0,3.0,Very Low
"""""#6780",1,18.0,3.0,Very Low
"""munka""#6694",1,18.0,3.0,Very Low
$ icvdr#7897,1,18.0,3.0,Very Low
$$#4017,1,18.0,3.0,Very Low
$4R4Ω¿ä#0670,1,18.0,3.0,Very Low
'┼üurxy#5362,1,18.0,3.0,Very Low
(.)(.)#0468,1,18.0,3.0,Very Low
)ray#7166,1,18.0,3.0,Very Low
* ß₧╡#4720,1,18.0,3.0,Very Low
*πâÖπé»πâêπâ½*#0947,1,18.0,3.0,Very Low
+31#5131,1,18.0,3.0,Very Low
+≡¥ÿ¿≡¥ÿó≡¥ÿ¿≡¥ÿª#5983,1,18.0,3.0,Very Low
-0-Nick-1-#8889,3,333.0,18.666666666666668,Very Low
-_-_-_-_-_-#1360,1,18.0,3.0,Very Low
-peanut#1385,1,18.0,3.0,Very Low
".....      ,,,,#1549",1,18.0,3.0,Very Low
.0xace,1,129.0,26.0,Very Low
.0xalien,2,46.0,4.5,Very Low
.0xjeremy,1,18.0,3.0,Very Low
.6l1tch,1,18.0,3.0,Very Low
.Hugo.#4745,1,18.0,3.0,Very Low
.Hugo.#7536,1,18.0,3.0,Very Low
.SoKittyΓ¥Ñ#9893,1,18.0,3.0,Very Low
._.ba._.,1,18.0,3.0,Very Low
.adrian232,1,18.0,3.0,Very Low
.agent_k,3,353.0,20.333333333333332,Very Low
.aidan.h,1,18.0,3.0,Very Low
.ainste,1,18.0,3.0,Very Low
.alex971,3,83.0,6.333333333333333,Very Low
.alexbah,2,4.0,1.0,Very Low
.alexlap,2,85.0,8.0,Very Low
.alpha_12,5,1346.0,49.8,Very Low
.amkk,1,18.0,3.0,Very Low
.anatix,1,928.0,175.0,Very Low
.ankhenaten,8,1188.0,25.625,Very Low
.ankit.s,1,18.0,3.0,Very Low
.astroherb,1,18.0,3.0,Very Low
.auckland,2,20.0,2.0,Very Low
.barkor,1,18.0,3.0,Very Low
.beilian,1,70.0,15.0,Very Low
.bhvn,1,18.0,3.0,Very Low
.billjones,1,18.0,3.0,Very Low
.bitrod,2,59.0,6.0,Very Low
.blossomwashere,2,20.0,2.0,Very Low
.boshuda,1,18.0,3.0,Very Low
.bxg,6,174.0,5.5,Very Low
.chaimf,6,263.0,6.833333333333333,Very Low
.chenosaurus,2,31.0,2.5,Very Low
.chesse,1,18.0,3.0,Very Low
.chris50,1,18.0,3.0,Very Low
.cjes,1,18.0,3.0,Very Low
.contadino,1,18.0,3.0,Very Low
.cryptobolic,1,35.0,8.0,Very Low
.cryptowaves,1,18.0,3.0,Very Low
.danwolf,1,18.0,3.0,Very Low
.data_error,1,169.0,31.0,Very Low
.dazednconfuzed,1,18.0,3.0,Very Low
.dberon,3,350.0,19.333333333333332,Very Low
.diegonogueira,1,18.0,3.0,Very Low
.discofox,2,52.0,5.0,Very Low
.distributeddoge,1,18.0,3.0,Very Low
.djcrypto,1,172.0,28.0,Very Low
.dogpie,1,18.0,3.0,Very Low
.donkeyking,5,745.0,27.8,Very Low
.dr.dan.,2,305.0,26.0,Very Low
.drcc,1,18.0,3.0,Very Low
.eljulien,3,295.0,19.0,Very Low
.eltonl,1,18.0,3.0,Very Low
.feddas,8,573.0,13.875,Very Low
.filimonoff,1,18.0,3.0,Very Low
.filom,1,18.0,3.0,Very Low
.forthedream,1,18.0,3.0,Very Low
.freiheit,1,18.0,3.0,Very Low
.fullvaluedan,1,18.0,3.0,Very Low
.fuschu,1,18.0,3.0,Very Low
.g4wqe9.tyq_.qhtd_fhgpaheej.bwr_,1,18.0,3.0,Very Low
.greybrown,1,14.0,3.0,Very Low
.h34d,4,55.0,2.5,Very Low
.harryjade,1,18.0,3.0,Very Low
.henrycn,1,47.0,11.0,Very Low
.herve76,1,18.0,3.0,Very Low
.hieroglitch,1,18.0,3.0,Very Low
.hrafa,1,18.0,3.0,Very Low
.hrojantorse,3,177.0,10.666666666666666,Very Low
.humility.,6,1216.0,34.833333333333336,Very Low
.igniter,1,18.0,3.0,Very Low
.indigodeblur,5,136.0,5.2,Very Low
.itsbomber,1,18.0,3.0,Very Low
.ivan151280,2,22.0,2.5,Very Low
.jackington,1,18.0,3.0,Very Low
.jalsyx#4804,1,18.0,3.0,Very Low
.jessevanmuijden,3,1025.0,61.333333333333336,Very Low
.jincz,1,18.0,3.0,Very Low
.joseph666,2,185.0,20.5,Very Low
.julierobb12,4,180.0,10.0,Very Low
.jusi,1,18.0,3.0,Very Low
.kaanureeves,2,36.0,3.0,Very Low
.kapitaaaan,1,18.0,3.0,Very Low
.kevinberrey,2,495.0,40.0,Very Low
.kibah,1,18.0,3.0,Very Low
.kluless,1,47.0,11.0,Very Low
.lomdi.,1,18.0,3.0,Very Low
.luxane,1,18.0,3.0,Very Low
.luxemborg,1,18.0,3.0,Very Low
.mangolassi,3,70.0,3.3333333333333335,Very Low
.matt6,1,18.0,3.0,Very Low
.meaningoflife,1,18.0,3.0,Very Low
.megamen,3,214.0,12.333333333333334,Very Low
.metahulk,3,144.0,8.666666666666666,Very Low
.michaeldo,1,18.0,3.0,Very Low
.mihaibadea,8,489.0,10.75,Very Low
.nftjunkie,3,80.0,6.333333333333333,Very Low
.nirach,4,57.0,3.5,Very Low
.nolandbeyond,1,18.0,3.0,Very Low
.panelist,1,18.0,3.0,Very Low
.papichulo214,1,44.0,1.0,Very Low
.phoenixborealis,1,18.0,3.0,Very Low
.phucson,1,144.0,23.0,Very Low
.pindapinda,5,514.0,19.4,Very Low
.plauto,2,6.0,1.5,Very Low
.plebjoehny,1,18.0,3.0,Very Low
.quige,4,8.0,1.0,Very Low
.r0gg3r,1,18.0,3.0,Very Low
.rafamelo,1,18.0,3.0,Very Low
.rafmont,1,18.0,3.0,Very Low
.rav3n69,1,18.0,3.0,Very Low
.rbace,1,18.0,3.0,Very Low
.rewired,1,18.0,3.0,Very Low
.rohirim,2,36.0,3.0,Very Low
.rokyen,1,18.0,3.0,Very Low
.rubensg,1,18.0,3.0,Very Low
.sanchopansa,1,18.0,3.0,Very Low
.sandipan,1,18.0,3.0,Very Low
.scottm3,56,11501.0,36.214285714285715,Low
.selfwithin,2,24.0,2.0,Very Low
.severoni,1,18.0,3.0,Very Low
.shaman.,7,396.0,10.0,Very Low
.shirolee,4,210.0,9.75,Very Low
.sholeys#1830,1,18.0,3.0,Very Low
.snoxe,1,18.0,3.0,Very Low
.soeep,1,35.0,7.0,Very Low
.spaceriot,1,18.0,3.0,Very Low
.sparkus,1,18.0,3.0,Very Low
.stevetech,4,464.0,19.5,Very Low
.stinkyjacky,1,18.0,3.0,Very Low
.stockmind,1,18.0,3.0,Very Low
.suparad,1,18.0,3.0,Very Low
.swiss.,2,26.0,2.0,Very Low
.sybr,1,262.0,45.0,Very Low
.talisman_,1,18.0,3.0,Very Low
.tawros,1,18.0,3.0,Very Low
.thisisfrank,1,18.0,3.0,Very Low
.thomasng,1,18.0,3.0,Very Low
.tradealpha,2,89.0,8.5,Very Low
.treelady,1,18.0,3.0,Very Low
.trieu.le,1,18.0,3.0,Very Low
.triplenickel,1,18.0,3.0,Very Low
.ttrb,1,2.0,1.0,Very Low
.udin.bob,3,50.0,4.0,Very Low
.usveteran,1,181.0,35.0,Very Low
.vaamx,1,18.0,3.0,Very Low
.vitorbruno,9,545.0,11.11111111111111,Very Low
.wayne_24,1,18.0,3.0,Very Low
.web3scout,1,18.0,3.0,Very Low
.westboi,1,18.0,3.0,Very Low
.yonghuang,1,18.0,3.0,Very Low
.zanzi,1,18.0,3.0,Very Low
.zarias,1,18.0,3.0,Very Low
.𝔅𝔞𝔯𝔦𝔰 (and festive dodo)#8621,1,18.0,3.0,Very Low
//#9751,1,18.0,3.0,Very Low
0000aaa__.,1,18.0,3.0,Very Low
01.69,1,2.0,1.0,Very Low
010001#1006,1,18.0,3.0,Very Low
"02' Revolution, Q!#0575",1,18.0,3.0,Very Low
08350,1,18.0,3.0,Very Low
090#6407,1,18.0,3.0,Very Low
0_07074,2,431.0,41.5,Very Low
0g_bagsy,29,1318.0,9.206896551724139,Low
0k0akagreenp0wer,2,4.0,1.0,Very Low
0leggun,1,2.0,1.0,Very Low
0li#9947,1,18.0,3.0,Very Low
0novak,2,105.0,10.0,Very Low
0ph3r.crypto,2,76.0,8.5,Very Low
0rigyn,1,18.0,3.0,Very Low
0wnsecurity.0.2.1,1,18.0,3.0,Very Low
0x Chain | Cmt#3384,1,18.0,3.0,Very Low
0x#5443,1,18.0,3.0,Very Low
0x.glitch,2,344.0,25.5,Very Low
0x.harsh,3,113.0,7.333333333333333,Very Low
0x.ramz,3,274.0,17.0,Very Low
0x069,3,88.0,5.333333333333333,Very Low
0x2sigma#1739,1,18.0,3.0,Very Low
0x49Fe#3240,1,18.0,3.0,Very Low
0x9000,2,282.0,25.0,Very Low
0xC01DFEED#0498,1,18.0,3.0,Very Low
0xCM#7201,1,18.0,3.0,Very Low
0xCharles#6490,4,55.0,2.5,Very Low
0xDiogenes#9213,5,465.0,16.0,Very Low
0xGod#7193,1,18.0,3.0,Very Low
0xLeo#4587,1,18.0,3.0,Very Low
0xMechel#0661,3,188.0,11.333333333333334,Very Low
0x_akelo,10,349.0,6.5,Very Low
0x_sherli,2,311.0,28.5,Very Low
0x_unmd#0810,1,18.0,3.0,Very Low
0x_yoshi,1,290.0,49.0,Very Low
0xaaronn,3,94.0,6.333333333333333,Very Low
0xakii,1,18.0,3.0,Very Low
0xakina,1,18.0,3.0,Very Low
0xaleph,1,18.0,3.0,Very Low
0xalex3001,3,81.0,5.666666666666667,Very Low
0xandros,3,506.0,28.0,Very Low
